Particular,Product Code,Definition,Category (clean),Sub-Category (clean)
Foam 72x36x20mm g premium softy  Color:white  Density:,,Foam ,Raw Material,Product Utilities
Foam 72X36X50mm  Color:WHITE SOFTY    Density: 32,,Foam ,Raw Material,Product Utilities
Foam 72X48X50MM soft  Color:WHITE  Density: 32,,Foam ,Raw Material,Product Utilities
Foam 72x48x6mm  Color:YELLOW  Density: 32,,Foam ,Raw Material,Product Utilities
Foam 78x37x50mm yellow  Color:  Density:,,Foam ,Raw Material,Product Utilities
Foam 88X36X25MM YELLOW  Color:  Density:,,Foam ,Raw Material,Product Utilities
Foam 88X44X20MM YELLOW  Color:  Density:,,Foam ,Raw Material,Product Utilities
Foam agarwal 40x36x10mm  Color:yellow  Density:,,Foam ,Raw Material,Product Utilities
Foam agarwal 40x37x10mm  Color:yellow  Density:,,Foam ,Raw Material,Product Utilities
Foam diamond 32D 64X48X10mm  Color:pink  Density: 32,,Foam ,Raw Material,Product Utilities
Foam Diamond 32d 72x36x10  Color:pink  Density: 32,,Foam ,Raw Material,Product Utilities
Foam   Color:WHITE  Density: 8X5X20MM PU SHEET TS,,Foam ,Raw Material,Product Utilities
Foam   Color:WHITE  Density: 8X8X20MM PU SHEET TS,,Foam ,Raw Material,Product Utilities
72X48 PINK,UNMPL/SKU/25-26/23,Foam Block,Raw Material,Product Utilities
Foam Moulding Strip White Left Arm Half 305 mm x 60mm (Key Hole Chair Armrest),UNM/SKU/24-25/1035,Foam Moulding Strip,Raw Material,Product Utilities
Foam Moulding Strip White Right Arm Half 305 mm x 60mm (Key Hole Chair Armrest),UNM/SKU/24-25/1036,Foam Moulding Strip,Raw Material,Product Utilities
Foam Moulding Strip White Left Arm Half 305 mm x 60mm,,Foam Moulding Strip,Raw Material,Product Utilities
Foam Moulding Strip White Right Arm Half 305 mm x 60mm,,Foam Moulding Strip,Raw Material,Product Utilities
"15MM FOAM TRAY 12.5""""X10.75""""X3"""" FOAM TRAY",UNMPL/SKU/25-26/1070,foam Tray ,Packaging,Product Utilities
"20MM FOAM U CLIP 5''GAPE 10""""L 5""""X5""""5",,Foam U ,Packaging,Product Utilities
FRAME CLIT 24'' PC,UNMPL/SKU/25-26/1687,FRAME CLIT,Hardware,Product Utilities
FRAME CLIT 36'',UNMPL/SKU/25-26/1688,FRAME CLIT,Hardware,Product Utilities
QIT PATTI 15 INCH,UNMPL/SKU/25-26/586,French clit ,Hardware,Product Utilities
FRL-AFC-2000,UNMPL/SKU/25-26/2157,FRL,Spares,Factory Utilities
TERMINATOR DIMAK JIVAN JOR,UNM/SKU/24-25/1144,Fumigation ,Housekeeping,Factory Utilities
PVC OIL KUPI,UNM/SKU/24-25/290,Funnel,Consumables,Factory Utilities
GANG BOX SINGLE WAY,UNMPL/SKU/25-26/1931,gangbox,Asset,Factory Utilities
GARBAG BAG 19X21 (BLACK),UNMPL/SKU/25-26/1752,Garbage Bag,Consumables,Factory Utilities
RUBBER GASKET SOFT FOR CNC FOR WOOD,UNM/SKU/24-25/1368,Gasket ,Spares,Factory Utilities
GI SOCKET FOR SHOWROOM RANK,UNMPL/SKU/25-26/569,GI Socket,Hardware,Office Utilities
GI T FOR SHOWROOM SELF,UNMPL/SKU/25-26/568,GI TEE,Hardware,Office Utilities
GI TEE 1/2'',UNMPL/SKU/25-26/1915,GI TEE,Hardware,Factory Utilities
G I WIRE  16 NO,UNMPL/SKU/25-26/1907,GI WIRE,Consumables,Factory Utilities
GI ROPE WIRE 3MM / 4MM,UNM/SKU/24-25/1324,GI Wire,Consumables,Factory Utilities
6MM WIRE ROPE,UNM/SKU/24-25/1318,GI Wire,Consumables,Factory Utilities
BNW BROWN GLAZE,UNMPL/SKU/25-26/2186,Glaze,Consumables,Product Utilities
GX5 T 001 LT GLAZE & PATINA NEW,UNMPL/SKU/25-26/1827,Glaze,Consumables,Product Utilities
MURUDHAR MCR-298 GLAZE,UNMPL/SKU/25-26/2098,Glaze,Consumables,Product Utilities
PCG Black Glaze (75104.8A) PATINA BLACK (M),UNMPL/SKU/25-26/639,Glaze,Consumables,Product Utilities
"Gloves Rubber / Acid 14""""",UNM/SKU/24-25/282,Gloves,Consumables,Factory Utilities
Cosmos,UM-000961,Gloves,Consumables,Factory Utilities
HAND GLOVES COTTON,UNM/SKU/23-24/797,Gloves,Consumables,Factory Utilities
HAND GLOVES 14 INCH FOR POLISH USES,UNMPL/SKU/25-26/336,Gloves,Consumables,Factory Utilities
Gloves Surgical [PM.RH] GLOVES SURGICAL [PM.RH] (pc),,Gloves,Consumables,Factory Utilities
Gloves Cotton standard size heat less,UNM/SKU/23-24/796,Gloves,Consumables,Factory Utilities
GLUE GUN,UNMPL/SKU/25-26/98,Glue Gun ,Asset,Factory Utilities
GOTI 10MM,UNMPL/SKU/25-26/1506,GOTI,Hardware,Factory Utilities
GOTI 6MM,UNMPL/SKU/25-26/1505,GOTI,Hardware,Factory Utilities
GOTI 8MM,UNMPL/SKU/25-26/1504,GOTI,Hardware,Factory Utilities
L TIPE ADDETER WITH GOTI,UNMPL/SKU/25-26/1508,GOTI,Hardware,Factory Utilities
GRANITE SLABES 3X7 BLACK,UNMPL/SKU/25-26/321,Granite,Consumables,Factory Utilities
GREASE L80 NULON (1 KG),UNMPL/SKU/25-26/302,Grease,Consumables,Product Utilities
BOSCH GRINDER GWS 800,UNMPL/SKU/25-26/1237,Grinder ,Asset,Factory Utilities
GRINDER MACHINE GWS 600,UNM/SKU/24-25/317,Grinder ,Asset,Factory Utilities
"GRINDER MACHINE MAKITA-9506-4""""",UNM/SKU/24-25/1744,Grinder ,Asset,Factory Utilities
SIDM BLADE GRINDER,UNM/SKU/24-25/586,Grinder ,Asset,Factory Utilities
"Grinder Disc Disc/PAD 5""""",UNM/SKU/24-25/471,Grinder Disc,Consumables,Product Utilities
"Grinder Disc Grinder PAD CHAKI 5""""",UNM/SKU/24-25/492,Grinder Disc,Consumables,Product Utilities
Grinder Disc IRON FLAP,UM-000969,Grinder Disc,Consumables,Product Utilities
"Grinder Disc VELCRO PAD 5""""",UNM/SKU/24-25/864,Grinder Disc,Consumables,Product Utilities
"Grinder Disc Disc/PAD 5"""" (BOSCH)",UNM/SKU/24-25/489,Grinder Disc,Consumables,Product Utilities
AARI STONE 12X1 inch,UNMPL/SKU/25-26/1266,Grinder Disc,Consumables,Product Utilities
Galender paper 80 NO ROLL 4 INCH,UNM/SKU/24-25/551,Grinder Paper,Consumables,Product Utilities
Grinder Paper 60 No. 4 Inch,UNM/SKU/24-25/552,Grinder Paper,Consumables,Product Utilities
